Score,Name,Address,Phone,Email,Website,Rating,Reviews,Source
Medium,Bhima Jewellers,"Bhima Jewellers, 122/C, 8th Main Road
Near NMKRV College
Jayanagar 3rd Block
Bengaluru
Karnataka 560011
India",+91-8041570424,,https://bhima.com,0.0,0,maps
Medium,Pmj Jewels,"748, 33rd Cross Road, Block 4, Jayanagar, Bengaluru, 560011, Karnataka, India",,,https://pmjjewels.com,0.0,0,maps
Medium,R-Gold,"74/2, Patalamma Temple Road, Block 3, Jayanagar, Bengaluru, 560011, Karnataka, India",+91-8041317752,,https://rgold.in,0.0,0,maps
Medium,Zoya,"40, Grant Road, Shanthala Nagar, Bengaluru, 560001, Karnataka, India",+91-8045901111,,https://www.zoya.in,0.0,0,maps
Medium,Ub City,"24 Vittal Mallya Road, Bengaluru, IN 560001",+91-9731600994,,https://www.facebook.com/ubcity/,4.3,2818,maps
Medium,Royal Meenakshi Mall,"Bannerghatta Road, Bengaluru, IN 560076",+91-8023900840,,https://www.facebook.com/royalmeenakshi/,4.1,129,maps
Medium,Jayanagar Shopping Complex,"9th Main Rd, Jaya Nagar 1st Block, 4th Block Jayanagar, Bengaluru, IN 560041",,,https://www.facebook.com/jayanagarshoppingcomplex/,4.0,39,maps
Medium,Forum Rex Walk,"Xjc4+wqh, Brigade Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, Bengaluru, IN 560001",,info@stagheaddesigns.com,https://www.forummalls.in/pages/forum-rex-walk,5.0,1,maps
Medium,Lalithaa Jewellery,"522/8, 33rd Cross 9th Main, Block 4, Jayanagar, ಬೆಂಗಳೂರು, Karnataka 560011, India",+91-8026657733,,https://www.lalithaajewellery.com,0.0,0,maps
Low,Melorra,"125, 11th Main Road, Block 4, Jayanagar, Bengaluru, 560011, Karnataka, India",+91-9620366366,cs@melorra.com,https://www.melorra.com,0.0,0,maps
Low,Amrapali Jewels Bangalore,"56, 18th Cross Road, Block 3, Jayanagar, Bengaluru, 560011, Karnataka, India",+91-8041653108,info@amrapalijewels.com,https://amrapalijewels.com,0.0,0,maps
Low,Malabar Gold And Diamonds,"329/15, Dr Parvathamma Rajkumar Road, Block 2, Jayanagar East, Bengaluru, 560011, Karnataka, India",+91-8040689916,care.in@malabargoldanddiamonds.com,https://www.malabargoldanddiamonds.com/stores/india/karnataka/bangalore/jayanagar-store,0.0,0,maps
Low,Alankruti,"67, 8th D Main Road, Block 4, Jayanagar, Bengaluru, Karnataka 560011, India",+91-9741162228,,"https://maps.apple.com/place?q=Alankruti&auid=8565551628613642898&address=67,%208th%20D%20Main%20Road,%20Block%204,%20Jayanagar,%20Bengaluru,%20Karnataka%20560011,%20India&ll=12.9302524,77.5828636",0.0,0,maps
Low,Kalki Fashion,"14, 11th Main Road, Block 4, Jayanagar, Bengaluru, 560011, Karnataka, India",+91-8071189800,info@kalkifashion.com,https://in.kalkifashion.com/pages/our-stores/kalki-fashion-designer-clothing-store-bangalore,0.0,0,maps
Low,Nexus Mall,"Hosur Road, Chikku Lakshmaiah Layout, Bengaluru, IN 560030",+91-8022067803,compliance@nexusselecttrust.com,https://www.nexusselecttrust.com/nexus-koramangala,4.0,392,maps
Low,1 Mg-Lido Mall,"1/2 Swami Vivekananda Rd, Bengaluru, IN 560008",+91-8022496600,ajax-loader@2x.gif,https://www.1mglidomall.com,3.8,128,maps
Low,Safina Plaza,"84/85, Infantry Road, Near Gem Plaza, Bengaluru, IN",+91-9164878690,info@safinaplaza.com,http://www.safinaplaza.com/,3.9,15,maps
