Score,Name,Address,Phone,Email,Website,Rating,Reviews,Source
High,Affordable Dental Care - Experienced Dental Team,Bangalore,,,NONE,0.0,0,web
Medium,Max Dental Care,"189, 21st Cross Road, Balepete, Chickpete, Bengaluru, 560053, Karnataka, India",+91-9844761205,,http://online.justdial.com/bangalore/chickpete/max-dental-care/maxdentalcare,0.0,0,maps
Medium,The Dentist,"6, Palmgrove Road, Anglo Indian Block, Elagondanpalya, Xavier Layout, Bengaluru, Karnataka 560047, India",+91-8045686414,,"https://maps.apple.com/place?q=The%20Dentist&auid=10025904046543723161&address=6,%20Palmgrove%20Road,%20Anglo%20Indian%20Block,%20Elagondanpalya,%20Xavier%20Layout,%20Bengaluru,%20Karnataka%20560047,%20India&ll=12.9622691,77.614696",0.0,0,maps
Medium,Pranam Dental And Medical Speciality Clinic,"13B, 1st Cross Road, Madhava Nagar, Gandhi Nagar, Bengaluru, 560001, Karnataka, India",+91-9611733755,,http://www.pranamdentalhospitals.in,0.0,0,maps
Medium,South Side Dental,"15, Model House Road, Basavanagudi, Bengaluru, 560004, Karnataka, India",+91-9900522360,,http://www.southsidedentalbangalore.com,0.0,0,maps
Medium,Kles Dental College & Hospital,"20, Tumkur Road, Bengaluru North, Bengaluru, Karnataka 560022, India",+91-8023474137,,https://klesids.edu.in/index.html,0.0,0,maps
Medium,Dental Clinic Bangalore,"7, Cambridge Layout, Halasuru, Bengaluru, 560008, Karnataka, India",+91-8041152565,,"https://maps.apple.com/place?q=Dental%20Clinic%20Bangalore&auid=7809610982973498328&address=7,%20Cambridge%20Layout,%20Halasuru,%20Bengaluru,%20560008,%20Karnataka,%20India&ll=12.969333,77.630167",0.0,0,maps
Medium,Best Dentists Near Me In Bangalore - Practo,Bangalore,,,https://www.practo.com/bangalore/dentist,0.0,0,web
Medium,"20 Best Dentists In Bengaluru, India | Datagemba",Bangalore,,,https://datagemba.com/b/v/in/bengaluru/dentists,0.0,0,web
Medium,"Top 10+ Dentists In Bangalore, India • Check Prices & Reviews",Bangalore,,,https://www.whatclinic.com/dentists/india/bangalore,0.0,0,web
Medium,Top 10 Dental Clinics In Bangalore - Mouthshut.Com,Bangalore,,,https://m.mouthshut.com/clinics/top-10-dental-clinics-in-bangalore-tpg-351,0.0,0,web
Medium,List Of Best Dental Clinics Near Me In Bangalore - Practo,Bangalore,,,https://www.practo.com/bangalore/clinics/dental-clinics,0.0,0,web
Low,Roots Dental Clinic,"76F, Kaverappa Layout, Vasant Nagar, Bengaluru, 560001, Karnataka, India",+91-9886734931,drvinod@rootsdental.in,http://www.rootsdental.in,0.0,0,maps
Low,Excel Dental Care,"Excel Dental Care, 884,19th main, 39th Cross Road
Jayanagar, 4th T block
Bengaluru
Karnataka 560041
India",+91-9483151643,1exceldentalcare@gmail.com,https://www.exceldentalcare.in,0.0,0,maps
Low,Sabka Dentist,"183/A, 11th Main Road, Block 4, Jayanagar, Bengaluru, 560011, Karnataka, India",+91-8069407900,customerservice@sabkadentist.com,http://www.sabkadentist.com,0.0,0,maps
Low,Clove Dental,"271, 8th Main Road, Lakksandra Extension, Wilson Garden, Bengaluru, 560030, Karnataka, India",+91-4038245711,care@clovedental.com,https://clovedental.in/dentist-near-me/bengaluru/wilson-garden,0.0,0,maps
Low,Apollo Dental,"Plot 51, 5th Block, Jyoti Niwas College Road, Koramangala, Bengaluru, Karnataka 560095, India",+91-8605007788,info@apollodental.in,https://apollodental.in,0.0,0,maps
