Lead Score,Name,Address,Phone,Email,Website,Rating,Reviews,Why This Lead,Source
MEDIUM,Lalithaa Jewellery,"522/8, 33rd Cross 9th Main, Block 4, Jayanagar, ಬೆಂಗಳೂರು, Karnataka 560011, India",-8026657642,,https://www.lalithaajewellery.com,0,0,Website but no email found,ddg_maps
MEDIUM,"Top Gold Jewellery In Bengaluru, Jayanagar 3Rd Block | Bhima Jewellers","Jayanagar,bengaluru",,,https://www.bhimagold.com/karnataka/stores/bengaluru/jayanagar-3rd-block,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,Jayanagar - Khazanajewellery.Com,"Jayanagar,bengaluru",,,https://www.khazanajewellery.com/storelocator/index/view/id/18/,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"Gold Buyers In Jayanagar, Bengaluru | White Gold Stores Locator","Jayanagar,bengaluru",,,https://branches.whitegold.money/location/branch-in-karnataka/branch-in-bengaluru/branch-in-Jayanagar/,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"Gold Jewellery Retailer - Jayanagar, Bengaluru, Karnataka","Jayanagar,bengaluru",,,https://www.mpsjewellers.com/,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"Sri Ganapathi Jewellers | Antique & Gold Jewellery In Jayanagar, Bengaluru","Jayanagar,bengaluru",,,https://www.sriganapathi.jewelflix.in/,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"Bohra Zaveri | Timeless Gold Jewellery In Jayanagar, Bengaluru","Jayanagar,bengaluru",,,https://www.bohrazaveri.com/,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"20+ Gold Jewellery Dealers In Jayanagar 3Rd Block, Bangalore - Best ...","Jayanagar,bengaluru",,,https://www.justdial.com/Bangalore/Gold-Jewellery-Dealers-in-Jayanagar-3rd-Block/nct-10855726,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,Jos Alukkas Jewellery - Jayanagar - Bangalore,"Jayanagar,bengaluru",,,https://jos-alukkas-jewellery-jayanagar.localo.site/,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"Top Gold Shops Near Me In Jayanagar,Bangalore - Asklaila","Jayanagar,bengaluru",,,https://www.asklaila.com/search/Bangalore/jayanagar/gold-shops/,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"Gold Jewellery Shops In Jayanagar, Bangalore - Sulekha","Jayanagar,bengaluru",,,https://www.sulekha.com/gold-jewellery-shops/jayanagar-bangalore,0,0,Website but no email found; No phone found,ddg_search
LOW,"Gold Jewellery Store In Jayanagar, Karnataka / Bangalore | Malabar Gold ...","Jayanagar,bengaluru",,care.in@malabargoldanddiamonds.com,https://www.malabargoldanddiamonds.com/stores/india/karnataka/bangalore/jayanagar-store,0,0,No phone found,ddg_search
LOW,"Kalyan Jewellers Jayanagar, Bengaluru - Store Details & Directions","Jayanagar,bengaluru",,store.pages@kalyanjewellers.tech,https://store.kalyanjewellers.net/kalyan-jewellers-store-jayanagar-bengaluru/blj/overview,0,0,No phone found,ddg_search
LOW,Bluestone Jewellery Store In Jayanagar Bengaluru,"Jayanagar,bengaluru",,corporate.gifting@bluestone.com,https://www.bluestone.com/stores/jayanagar-bengaluru-reslnk-TVRZPQ==/catalog.html,0,0,No phone found,ddg_search
LOW,"Shop Orra Fine Jewellery In Jayanagar, Bengaluru","Jayanagar,bengaluru",,customercare@orra.co.in,https://www.orra.co.in/stores/karnataka/bengaluru/jayanagar,0,0,No phone found,ddg_search
LOW,"Grt Jewellers - Jayanagar, Bengaluru In Jayanagar, Bengaluru | Gold ...","Jayanagar,bengaluru",,info@promanage.biz,https://promanage.biz/grt-jewellers/jewellery-store-in-jayanagar-bengaluru-11454291-profile,0,0,No phone found,ddg_search
